,ds,y
115,2023-09-24,88174.5895162151
116,2023-09-25,88457.29234237374
117,2023-09-26,87282.23203043641
118,2023-09-27,87450.71282473783
119,2023-09-28,88219.4863033731
120,2023-09-29,87808.90415279934
121,2023-09-30,87808.90415279934
122,2023-10-01,87808.90415279934
123,2023-10-02,87350.60713596287
124,2023-10-03,86090.37142382136
125,2023-10-04,86965.76235571709
126,2023-10-05,86814.41131800736
127,2023-10-06,87687.3099109405
128,2023-10-07,87687.3099109405
129,2023-10-08,87687.3099109405
130,2023-10-09,88402.0731936329
131,2023-10-10,88943.15530093848
132,2023-10-11,89286.97923704762
133,2023-10-12,88183.94217763712
134,2023-10-13,87811.26896516781
135,2023-10-14,87811.26896516781
136,2023-10-15,87811.26896516781
137,2023-10-16,88770.10227733664
138,2023-10-17,88964.79752821478
139,2023-10-18,87485.61945232496
140,2023-10-19,86212.07504519241
141,2023-10-20,85250.9722459901
142,2023-10-21,85250.9722459901
143,2023-10-22,85250.9722459901
144,2023-10-23,84911.17797160344
145,2023-10-24,85148.4673244943
146,2023-10-25,84088.43011046486
147,2023-10-26,83797.60820760485
148,2023-10-27,83257.89879624941
149,2023-10-28,83257.89879624941
150,2023-10-29,83257.89879624941
151,2023-10-30,83886.1553826522
152,2023-10-31,84602.65269224042
153,2023-11-01,85141.42948961005
154,2023-11-02,86964.45157437626
155,2023-11-03,88326.87708499456
156,2023-11-04,88326.87708499456
157,2023-11-05,88326.87708499456
158,2023-11-06,88429.09843647067
159,2023-11-07,88682.29077854424
160,2023-11-08,88691.07998127998
161,2023-11-09,88224.94031300886
162,2023-11-10,89577.60649083336
163,2023-11-11,89577.60649083336
164,2023-11-12,89577.60649083336
165,2023-11-13,89612.85346823806
166,2023-11-14,91722.52169027663
167,2023-11-15,91832.81942536842
168,2023-11-16,91731.96289521658
169,2023-11-17,91933.26973082242
170,2023-11-18,91933.26973082242
171,2023-11-19,91933.26973082242
172,2023-11-20,92488.97538875695
173,2023-11-21,92488.08374097123
174,2023-11-22,92751.01909704166
175,2023-11-23,92751.01909704166
176,2023-11-24,92971.78553394583
177,2023-11-25,92971.78553394583
178,2023-11-26,92971.78553394583
179,2023-11-27,92697.60174265117
180,2023-11-28,92469.97799704733
181,2023-11-29,92612.11544590506
182,2023-11-30,93256.63693569269
183,2023-12-01,94506.34948493302
184,2023-12-02,94506.34948493302
185,2023-12-03,94506.34948493302
186,2023-12-04,94464.08249181439
187,2023-12-05,93931.21431292052
188,2023-12-06,93922.98962133017
189,2023-12-07,94396.12872911253
190,2023-12-08,94746.04392371967
191,2023-12-09,94746.04392371967
192,2023-12-10,94746.04392371967
193,2023-12-11,95779.47749686414
194,2023-12-12,96358.08718956483
195,2023-12-13,98018.28705476766
196,2023-12-14,98717.16880334358
197,2023-12-15,98374.30082532814
198,2023-12-16,98374.30082532814
199,2023-12-17,98374.30082532814
200,2023-12-18,98637.07540872271
